epoch,train_loss,val_loss,learning_rate
1,2.5472309589385986,3.041239023208618,0.0003000000142492354
2,2.0613555908203125,2.7688071727752686,0.0003000000142492354
3,1.9772461652755737,2.5948867797851562,0.0003000000142492354
4,1.9320281744003296,2.842593193054199,0.0003000000142492354
5,1.8876930475234985,2.996957778930664,0.0003000000142492354
6,1.8473467826843262,3.0284178256988525,0.0003000000142492354
7,1.8192275762557983,3.111570119857788,0.0003000000142492354
8,1.7855050563812256,3.7140960693359375,0.0003000000142492354
9,1.7772603034973145,3.4873082637786865,0.0003000000142492354
10,1.762203335762024,3.6663289070129395,0.0003000000142492354
11,1.7507997751235962,3.933567523956299,0.0003000000142492354
12,1.7363669872283936,3.9117298126220703,0.0003000000142492354
13,1.737733244895935,3.9301886558532715,0.0003000000142492354
14,1.7226331233978271,3.8157777786254883,0.0003000000142492354
15,1.7161058187484741,4.024003982543945,0.0003000000142492354
16,1.7117072343826294,3.691145658493042,0.0003000000142492354
17,1.7057840824127197,3.8871138095855713,0.0003000000142492354
18,1.7041264772415161,3.745852470397949,0.0003000000142492354
19,1.69660222530365,3.765578508377075,0.0003000000142492354
20,1.6908098459243774,3.6343913078308105,0.0003000000142492354
21,1.6940838098526,3.6955604553222656,0.0003000000142492354
22,1.6929872035980225,3.620598077774048,0.0003000000142492354
23,1.6739588975906372,3.428182363510132,0.0003000000142492354
24,1.693098545074463,3.4144814014434814,0.0001500000071246177
25,1.6715612411499023,3.5603139400482178,0.0001500000071246177
26,1.6689155101776123,3.4413375854492188,0.0001500000071246177
27,1.657943844795227,3.458803415298462,0.0001500000071246177
28,1.6638628244400024,3.5220282077789307,0.0001500000071246177
29,1.661154866218567,3.588294267654419,0.0001500000071246177
30,1.653822898864746,3.572155237197876,0.0001500000071246177
31,1.6489723920822144,3.5870933532714844,0.0001500000071246177
32,1.6529576778411865,3.4395248889923096,0.0001500000071246177
33,1.6574703454971313,3.4901719093322754,0.0001500000071246177
34,1.6407538652420044,3.5815224647521973,0.0001500000071246177
35,1.6511353254318237,3.4673798084259033,0.0001500000071246177
36,1.6311531066894531,3.4666736125946045,0.0001500000071246177
37,1.6423652172088623,3.6837048530578613,0.0001500000071246177
38,1.6314623355865479,3.449965238571167,0.0001500000071246177
39,1.622127652168274,3.4205198287963867,0.0001500000071246177
40,1.6339071989059448,3.364696979522705,0.0001500000071246177
41,1.6240746974945068,3.4500319957733154,0.0001500000071246177
